iea_product;iea_flows;REMINDitems_in;REMINDitems_out;REMINDitems_tech;Weight;Comment
ADDITIVE;EXPORTS;;;;;
ADDITIVE;IMPORTS;;;;;
ADDITIVE;INDPROD;;;;;
ADDITIVE;NEINTREN;;;;;
ADDITIVE;NONENUSE;seliqfos;feli_chemicals;tdli_chemicals;1;
ADDITIVE;STATDIFF;;;;;
ADDITIVE;STOCKCHA;;;;;
ADDITIVE;TES;;;;;
ADDITIVE;TFC;peoil;seliqfos;refliq;1;
ADDITIVE;TOTTRANF;;;;;
ADDITIVE;TRANSFER;;;;;
ADDITIVE;TREFINER;;;;;
ANTCOAL;AGRICULT;sesofos;feso_otherInd;tdso_otherInd;1;
ANTCOAL;AUTOCHP;;;;;
ANTCOAL;AUTOELEC;;;;;
ANTCOAL;AUTOHEAT;;;;;
ANTCOAL;CHEMICAL;sesofos;feso_chemicals;tdso_chemicals;1;
ANTCOAL;COMMPUB;sesofos;fesob;tdfossob;1;
ANTCOAL;CONSTRUC;sesofos;feso_otherInd;tdso_otherInd;1;
ANTCOAL;DISTLOSS;pecoal;sesofos;coaltr;-1;
ANTCOAL;EBLASTFUR;sesofos;feso_steel;tdso_steel;-1;
ANTCOAL;ECOKEOVS;;;;;
ANTCOAL;ELAUTOC;pecoal;seel;coalchp;1;
ANTCOAL;ELAUTOE;pecoal;seel;pc;1;
ANTCOAL;ELMAINC;pecoal;seel;coalchp;1;
ANTCOAL;ELMAINE;pecoal;seel;pc;1;
ANTCOAL;ELOUTPUT;;;;;
ANTCOAL;EMINES;;;;;
ANTCOAL;ENONSPEC;;;;;
ANTCOAL;EPATFUEL;;;;;
ANTCOAL;EPOWERPLT;;;;;
ANTCOAL;EXPORTS;;;;;
ANTCOAL;FOODPRO;sesofos;feso_otherInd;tdso_otherInd;1;
ANTCOAL;HEATOUT;;;;;
ANTCOAL;HEAUTOC;pecoal;sehe;coalchp;1;
ANTCOAL;HEAUTOH;pecoal;sehe;coalhp;1;
ANTCOAL;HEMAINC;pecoal;sehe;coalchp;1;
ANTCOAL;HEMAINH;pecoal;sehe;coalhp;1;
ANTCOAL;IMPORTS;;;;;
ANTCOAL;INDPROD;;;;;
ANTCOAL;INONSPEC;sesofos;feso_otherInd;tdso_otherInd;1;
ANTCOAL;IRONSTL;sesofos;feso_steel;tdso_steel;1;
ANTCOAL;MACHINE;sesofos;feso_otherInd;tdso_otherInd;1;
ANTCOAL;MAINCHP;;;;;
ANTCOAL;MAINELEC;;;;;
ANTCOAL;MAINHEAT;;;;;
ANTCOAL;MANUFACT;;;;;
ANTCOAL;MINING;sesofos;feso_otherInd;tdso_otherInd;1;
ANTCOAL;NECHEM;;;;;
ANTCOAL;NEINTREN;;;;;
ANTCOAL;NEOTHER;;;;;
ANTCOAL;NONENUSE;sesofos;feso_chemicals;tdso_chemicals;1;
ANTCOAL;NONFERR;sesofos;feso_otherInd;tdso_otherInd;1;
ANTCOAL;NONMET;sesofos;feso_cement;tdso_cement;1;
ANTCOAL;ONONSPEC;sesofos;fesob;tdfossob;1;
ANTCOAL;PAPERPRO;sesofos;feso_otherInd;tdso_otherInd;1;
ANTCOAL;RAIL;sesofos;feso_otherInd;tdso_otherInd;1;
ANTCOAL;RESIDENT;sesofos;fesob;tdfossob;1;
ANTCOAL;STATDIFF;;;;;
ANTCOAL;STOCKCHA;;;;;
ANTCOAL;TBLASTFUR;pecoal;sesofos;coaltr;-1;
ANTCOAL;TBLASTFUR;sesofos;feso_steel;tdso_steel;-1;
ANTCOAL;TBLENDGAS;;;;;
ANTCOAL;TCOKEOVS;;;;;
ANTCOAL;TES;;;;;
ANTCOAL;TEXTILES;sesofos;feso_otherInd;tdso_otherInd;1;
ANTCOAL;TFC;pecoal;sesofos;coaltr;1;
ANTCOAL;TGASWKS;;;;;
ANTCOAL;TNONSPEC;;;;;
ANTCOAL;TOTENGY;;;;;
ANTCOAL;TOTIND;;;;;
ANTCOAL;TOTTRANF;;;;;
ANTCOAL;TOTTRANS;;;;;
ANTCOAL;TPATFUEL;;;;;
ANTCOAL;TRANSEQ;sesofos;feso_otherInd;tdso_otherInd;1;
ANTCOAL;TRANSFER;;;;;
ANTCOAL;TREFINER;;;;;
ANTCOAL;TRNONSPE;;;;;
ANTCOAL;WOODPRO;sesofos;feso_otherInd;tdso_otherInd;1;
AVGAS;AGRICULT;seliqfos;feli_otherInd;tdli_otherInd;1;
AVGAS;AVBUNK;peoil;seliqfos;refliq;-1;
AVGAS;AVBUNK;seliqfos;fedie;tdfosdie;-1;
AVGAS;CHEMICAL;seliqfos;feli_chemicals;tdli_chemicals;1;
AVGAS;COMMPUB;seliqfos;fehob;tdfoshob;1;
AVGAS;CONSTRUC;seliqfos;feli_otherInd;tdli_otherInd;1;
AVGAS;DISTLOSS;peoil;seliqfos;refliq;-1;
AVGAS;DOMESAIR;seliqfos;fedie;tdfosdie;1;
AVGAS;ENONSPEC;;;;;
AVGAS;EREFINER;;;;;
AVGAS;EXPORTS;;;;;
AVGAS;FOODPRO;seliqfos;feli_otherInd;tdli_otherInd;1;
AVGAS;IMPORTS;;;;;
AVGAS;INONSPEC;seliqfos;feli_otherInd;tdli_otherInd;1;
AVGAS;IRONSTL;seliqfos;feli_steel;tdli_steel;1;
AVGAS;MACHINE;seliqfos;feli_otherInd;tdli_otherInd;1;
AVGAS;MANUFACT;;;;;
AVGAS;MARBUNK;peoil;seliqfos;refliq;-1;
AVGAS;MARBUNK;seliqfos;fedie;tdfosdie;-1;
AVGAS;MINING;seliqfos;feli_otherInd;tdli_otherInd;1;
AVGAS;NETRANS;;;;;
AVGAS;NONENUSE;seliqfos;feli_chemicals;tdli_chemicals;1;
AVGAS;NONFERR;seliqfos;feli_otherInd;tdli_otherInd;1;
AVGAS;NONMET;seliqfos;feli_cement;tdli_cement;1;
AVGAS;ONONSPEC;seliqfos;fehob;tdfoshob;1;
AVGAS;PAPERPRO;seliqfos;feli_otherInd;tdli_otherInd;1;
AVGAS;ROAD;seliqfos;fedie;tdfosdie;1;
AVGAS;STATDIFF;;;;;
AVGAS;STOCKCHA;;;;;
AVGAS;TES;;;;;
AVGAS;TEXTILES;seliqfos;feli_otherInd;tdli_otherInd;1;
AVGAS;TFC;peoil;seliqfos;refliq;1;
AVGAS;TOTENGY;;;;;
AVGAS;TOTIND;;;;;
AVGAS;TOTTRANF;;;;;
AVGAS;TOTTRANS;;;;;
AVGAS;TRANSEQ;seliqfos;feli_otherInd;tdli_otherInd;1;
AVGAS;TRANSFER;;;;;
AVGAS;TREFINER;;;;;
AVGAS;TRNONSPE;seliqfos;fedie;tdfosdie;1;
AVGAS;WOODPRO;seliqfos;feli_otherInd;tdli_otherInd;1;
BIODIESEL;AGRICULT;seliqbio;feli_otherInd;tdli_otherInd;1;
BIODIESEL;AUTOCHP;;;;;
BIODIESEL;AUTOELEC;;;;;
BIODIESEL;AUTOHEAT;;;;;
BIODIESEL;AVBUNK;seliqbio;fedie;tdbiodie;-1;
BIODIESEL;CHEMICAL;seliqbio;feli_chemicals;tdli_chemicals;1;
BIODIESEL;COMMPUB;seliqbio;fehob;tdbiohob;1;
BIODIESEL;CONSTRUC;seliqbio;feli_otherInd;tdli_otherInd;1;
BIODIESEL;DISTLOSS;;;;;
BIODIESEL;DOMESNAV;seliqbio;fedie;tdbiodie;1;
BIODIESEL;EBLASTFUR;seliqbio;feli_steel;tdli_steel;-1;
BIODIESEL;ELAUTOC;pebiolc;seel;biochp;1;
BIODIESEL;ELAUTOE;pebiolc;seel;bioigcc;1;
BIODIESEL;ELMAINC;pebiolc;seel;biochp;1;
BIODIESEL;ELMAINE;pebiolc;seel;bioigcc;1;
BIODIESEL;ELOUTPUT;;;;;
BIODIESEL;EMINES;;;;;
BIODIESEL;ENONSPEC;;;;;
BIODIESEL;EOILGASEX;;;;;
BIODIESEL;EREFINER;;;;;
BIODIESEL;EXPORTS;;;;;
BIODIESEL;FISHING;seliqbio;feli_otherInd;tdli_otherInd;1;
BIODIESEL;FOODPRO;seliqbio;feli_otherInd;tdli_otherInd;1;
BIODIESEL;HEATOUT;;;;;
BIODIESEL;HEAUTOC;pebiolc;sehe;biochp;1;
BIODIESEL;HEMAINC;pebiolc;sehe;biochp;1;
BIODIESEL;HEMAINH;pebiolc;sehe;biohp;1;
BIODIESEL;IMPORTS;;;;;
BIODIESEL;INDPROD;;;;;
BIODIESEL;INONSPEC;seliqbio;feli_otherInd;tdli_otherInd;1;
BIODIESEL;IRONSTL;seliqbio;feli_steel;tdli_steel;1;
BIODIESEL;MACHINE;seliqbio;feli_otherInd;tdli_otherInd;1;
BIODIESEL;MAINCHP;;;;;
BIODIESEL;MAINELEC;;;;;
BIODIESEL;MAINHEAT;;;;;
BIODIESEL;MANUFACT;;;;;
BIODIESEL;MARBUNK;seliqbio;fedie;tdbiodie;-1;
BIODIESEL;MINING;seliqbio;feli_otherInd;tdli_otherInd;1;
BIODIESEL;NONFERR;seliqbio;feli_otherInd;tdli_otherInd;1;
BIODIESEL;NONMET;seliqbio;feli_cement;tdli_cement;1;
BIODIESEL;ONONSPEC;seliqbio;fehob;tdbiohob;1;
BIODIESEL;PAPERPRO;seliqbio;feli_otherInd;tdli_otherInd;1;
BIODIESEL;RAIL;seliqbio;fedie;tdbiodie;1;
BIODIESEL;RESIDENT;seliqbio;fehob;tdbiohob;1;
BIODIESEL;ROAD;seliqbio;fedie;tdbiodie;1;
BIODIESEL;STATDIFF;;;;;
BIODIESEL;STOCKCHA;;;;;
BIODIESEL;TBLASTFUR;seliqbio;feli_steel;tdli_steel;-1;
BIODIESEL;TES;;;;;
BIODIESEL;TEXTILES;seliqbio;feli_otherInd;tdli_otherInd;1;
BIODIESEL;TFC;pebioil;seliqbio;biodiesel;1;
BIODIESEL;TGASWKS;seliqbio;feli_otherInd;tdli_otherInd;-1;
BIODIESEL;TNONSPEC;;;;;
BIODIESEL;TOTENGY;;;;;
BIODIESEL;TOTIND;;;;;
BIODIESEL;TOTTRANF;;;;;
BIODIESEL;TOTTRANS;;;;;
BIODIESEL;TPETCHEM;;;;;
BIODIESEL;TRANSEQ;seliqbio;feli_otherInd;tdli_otherInd;1;
BIODIESEL;TRANSFER;;;;;
BIODIESEL;TRNONSPE;seliqbio;fedie;tdbiodie;1;
BIODIESEL;WOODPRO;seliqbio;feli_otherInd;tdli_otherInd;1;
BIOGASES;AGRICULT;segabio;fega_otherInd;tdga_otherInd;1;
BIOGASES;AUTOCHP;;;;;
BIOGASES;AUTOELEC;;;;;
BIOGASES;AUTOHEAT;;;;;
BIOGASES;CHEMICAL;segabio;fega_chemicals;tdga_chemicals;1;
BIOGASES;COMMPUB;segabio;fegab;tdbiogab;1;
BIOGASES;CONSTRUC;segabio;fega_otherInd;tdga_otherInd;1;
BIOGASES;DISTLOSS;pebiolc;segabio;biogas;-1;
BIOGASES;DOMESNAV;segabio;fegat;tdbiogat;1;
BIOGASES;EBIOGAS;;;;;
BIOGASES;EGASWKS;;;;;
BIOGASES;ELAUTOC;pebiolc;seel;biochp;1;
BIOGASES;ELAUTOE;pebiolc;seel;bioigcc;1;
BIOGASES;ELMAINC;pebiolc;seel;biochp;1;
BIOGASES;ELMAINE;pebiolc;seel;bioigcc;1;
BIOGASES;ELOUTPUT;;;;;
BIOGASES;ENONSPEC;;;;;
BIOGASES;EPOWERPLT;;;;;
BIOGASES;EREFINER;segabio;fega_chemicals;tdga_chemicals;-1;
BIOGASES;EXPORTS;;;;;
BIOGASES;FISHING;segabio;fega_otherInd;tdga_otherInd;1;
BIOGASES;FOODPRO;segabio;fega_otherInd;tdga_otherInd;1;
BIOGASES;HEATOUT;;;;;
BIOGASES;HEAUTOC;pebiolc;sehe;biochp;1;
BIOGASES;HEAUTOH;pebiolc;sehe;biohp;1;
BIOGASES;HEMAINC;pebiolc;sehe;biochp;1;
BIOGASES;HEMAINH;pebiolc;sehe;biohp;1;
BIOGASES;IMPORTS;;;;;
BIOGASES;INDPROD;;;;;
BIOGASES;INONSPEC;segabio;fega_otherInd;tdga_otherInd;1;
BIOGASES;IRONSTL;segabio;fega_steel;tdga_steel;1;
BIOGASES;MACHINE;segabio;fega_otherInd;tdga_otherInd;1;
BIOGASES;MAINCHP;;;;;
BIOGASES;MAINELEC;;;;;
BIOGASES;MAINHEAT;;;;;
BIOGASES;MANUFACT;;;;;
BIOGASES;MINING;segabio;fega_otherInd;tdga_otherInd;1;
BIOGASES;NONFERR;segabio;fega_otherInd;tdga_otherInd;1;
BIOGASES;NONMET;segabio;fega_cement;tdga_cement;1;
BIOGASES;ONONSPEC;segabio;fegab;tdbiogab;1;
BIOGASES;PAPERPRO;segabio;fega_otherInd;tdga_otherInd;1;
BIOGASES;PIPELINE;;;;;
BIOGASES;RESIDENT;segabio;fegab;tdbiogab;1;
BIOGASES;ROAD;segabio;fegat;tdbiogat;1;
BIOGASES;STATDIFF;;;;;
BIOGASES;STOCKCHA;;;;;
BIOGASES;TBLENDGAS;;;;;
BIOGASES;TES;;;;;
BIOGASES;TEXTILES;segabio;fega_otherInd;tdga_otherInd;1;
BIOGASES;TFC;pebiolc;segabio;biogas;1;
BIOGASES;TNONSPEC;;;;;
BIOGASES;TOTENGY;;;;;
BIOGASES;TOTIND;;;;;
BIOGASES;TOTTRANF;;;;;
BIOGASES;TOTTRANS;;;;;
BIOGASES;TRANSEQ;segabio;fega_otherInd;tdga_otherInd;1;
BIOGASES;TRNONSPE;segabio;fegat;tdbiogat;1;
BIOGASES;WOODPRO;segabio;fega_otherInd;tdga_otherInd;1;
BIOGASOL;AGRICULT;seliqbio;feli_otherInd;tdli_otherInd;1;
BIOGASOL;AUTOELEC;;;;;
BIOGASOL;CHEMICAL;seliqbio;feli_chemicals;tdli_chemicals;1;
BIOGASOL;COMMPUB;seliqbio;fehob;tdbiohob;1;
BIOGASOL;CONSTRUC;seliqbio;feli_otherInd;tdli_otherInd;1;
BIOGASOL;DISTLOSS;;;;;
BIOGASOL;DOMESNAV;seliqbio;fedie;tdbiodie;1;
BIOGASOL;ELAUTOC;pebiolc;seel;biochp;1;
BIOGASOL;ELAUTOE;pebiolc;seel;bioigcc;1;
BIOGASOL;ELMAINC;pebiolc;seel;biochp;1;
BIOGASOL;ELMAINE;pebiolc;seel;bioigcc;1;
BIOGASOL;ELOUTPUT;;;;;
BIOGASOL;EXPORTS;;;;;
BIOGASOL;FISHING;seliqbio;feli_otherInd;tdli_otherInd;1;
BIOGASOL;FOODPRO;seliqbio;feli_otherInd;tdli_otherInd;1;
BIOGASOL;HEAUTOC;pebiolc;sehe;biochp;1;
BIOGASOL;HEMAINC;pebiolc;sehe;biochp;1;
BIOGASOL;IMPORTS;;;;;
BIOGASOL;INDPROD;;;;;
BIOGASOL;INONSPEC;seliqbio;feli_otherInd;tdli_otherInd;1;
BIOGASOL;IRONSTL;seliqbio;feli_steel;tdli_steel;1;
BIOGASOL;MACHINE;seliqbio;feli_otherInd;tdli_otherInd;1;
BIOGASOL;MAINELEC;;;;;
BIOGASOL;MANUFACT;;;;;
BIOGASOL;MINING;seliqbio;feli_otherInd;tdli_otherInd;1;
BIOGASOL;NONFERR;seliqbio;feli_otherInd;tdli_otherInd;1;
BIOGASOL;NONMET;seliqbio;feli_cement;tdli_cement;1;
BIOGASOL;ONONSPEC;seliqbio;fehob;tdbiohob;1;
BIOGASOL;PAPERPRO;seliqbio;feli_otherInd;tdli_otherInd;1;
BIOGASOL;RESIDENT;seliqbio;fehob;tdbiohob;1;
BIOGASOL;ROAD;seliqbio;fepet;tdbiopet;1;
BIOGASOL;STATDIFF;;;;;
BIOGASOL;STOCKCHA;;;;;
BIOGASOL;TES;;;;;
BIOGASOL;TEXTILES;seliqbio;feli_otherInd;tdli_otherInd;1;
BIOGASOL;TFC;pebios;seliqbio;bioeths;1;
BIOGASOL;TOTIND;;;;;
BIOGASOL;TOTTRANF;;;;;
BIOGASOL;TOTTRANS;;;;;
BIOGASOL;TRANSEQ;seliqbio;feli_otherInd;tdli_otherInd;1;
BIOGASOL;TRANSFER;;;;;
BIOGASOL;TRNONSPE;seliqbio;fedie;tdbiodie;1;
BIOGASOL;WOODPRO;seliqbio;feli_otherInd;tdli_otherInd;1;
BIOJETKERO;AVBUNK;;;;;
BIOJETKERO;DOMESAIR;;;;;
BIOJETKERO;EXPORTS;;;;;
BIOJETKERO;IMPORTS;;;;;
BIOJETKERO;INDPROD;;;;;
BIOJETKERO;STATDIFF;;;;;
BIOJETKERO;STOCKCHA;;;;;
BIOJETKERO;TES;;;;;
BIOJETKERO;TFC;;;;;
BIOJETKERO;TOTTRANS;;;;;
BITCOAL;AGRICULT;sesofos;feso_otherInd;tdso_otherInd;1;
BITCOAL;AUTOCHP;;;;;
BITCOAL;AUTOELEC;;;;;
BITCOAL;AUTOHEAT;;;;;
BITCOAL;CHEMICAL;sesofos;feso_chemicals;tdso_chemicals;1;
BITCOAL;COMMPUB;sesofos;fesob;tdfossob;1;
BITCOAL;CONSTRUC;sesofos;feso_otherInd;tdso_otherInd;1;
BITCOAL;DISTLOSS;pecoal;sesofos;coaltr;-1;
BITCOAL;DOMESNAV;;;;;
BITCOAL;EBLASTFUR;sesofos;feso_steel;tdso_steel;-1;
BITCOAL;ECOALLIQ;;;;;
BITCOAL;ECOKEOVS;;;;;
BITCOAL;EGASWKS;;;;;
BITCOAL;ELAUTOC;pecoal;seel;coalchp;1;
BITCOAL;ELAUTOE;pecoal;seel;pc;1;
BITCOAL;ELMAINC;pecoal;seel;coalchp;1;
BITCOAL;ELMAINE;pecoal;seel;pc;1;
BITCOAL;ELOUTPUT;;;;;
BITCOAL;EMINES;;;;;
BITCOAL;ENONSPEC;;;;;
BITCOAL;EPATFUEL;;;;;
BITCOAL;EPOWERPLT;;;;;
BITCOAL;EREFINER;;;;;
BITCOAL;EXPORTS;;;;;
BITCOAL;FISHING;sesofos;feso_otherInd;tdso_otherInd;1;
BITCOAL;FOODPRO;sesofos;feso_otherInd;tdso_otherInd;1;
BITCOAL;HEATOUT;;;;;
BITCOAL;HEAUTOC;pecoal;sehe;coalchp;1;
BITCOAL;HEAUTOH;pecoal;sehe;coalhp;1;
BITCOAL;HEMAINC;pecoal;sehe;coalchp;1;
BITCOAL;HEMAINH;pecoal;sehe;coalhp;1;
BITCOAL;IMPORTS;;;;;
BITCOAL;INDPROD;;;;;
BITCOAL;INONSPEC;sesofos;feso_otherInd;tdso_otherInd;1;
BITCOAL;IRONSTL;sesofos;feso_steel;tdso_steel;1;
BITCOAL;MACHINE;sesofos;feso_otherInd;tdso_otherInd;1;
BITCOAL;MAINCHP;;;;;
BITCOAL;MAINELEC;;;;;
BITCOAL;MAINHEAT;;;;;
BITCOAL;MANUFACT;;;;;
BITCOAL;MINING;sesofos;feso_otherInd;tdso_otherInd;1;
BITCOAL;NECHEM;;;;;
BITCOAL;NEINTREN;;;;;
BITCOAL;NEOTHER;;;;;
BITCOAL;NONENUSE;sesofos;feso_chemicals;tdso_chemicals;1;
BITCOAL;NONFERR;sesofos;feso_otherInd;tdso_otherInd;1;
BITCOAL;NONMET;sesofos;feso_cement;tdso_cement;1;
BITCOAL;ONONSPEC;sesofos;fesob;tdfossob;1;
BITCOAL;PAPERPRO;sesofos;feso_otherInd;tdso_otherInd;1;
BITCOAL;RAIL;sesofos;feso_otherInd;tdso_otherInd;1;
BITCOAL;RESIDENT;sesofos;fesob;tdfossob;1;
BITCOAL;STATDIFF;;;;;
BITCOAL;STOCKCHA;;;;;
BITCOAL;TBKB;;;;;
BITCOAL;TBLASTFUR;pecoal;sesofos;coaltr;-1;
BITCOAL;TBLASTFUR;sesofos;feso_steel;tdso_steel;-1;
BITCOAL;TBLENDGAS;;;;;
BITCOAL;TCOALLIQ;;;;;
BITCOAL;TCOKEOVS;;;;;
BITCOAL;TES;;;;;
BITCOAL;TEXTILES;sesofos;feso_otherInd;tdso_otherInd;1;
BITCOAL;TFC;pecoal;sesofos;coaltr;1;
BITCOAL;TGASWKS;;;;;
BITCOAL;TGTL;;;;;
BITCOAL;TNONSPEC;;;;;
BITCOAL;TOTENGY;;;;;
BITCOAL;TOTIND;;;;;
BITCOAL;TOTTRANF;;;;;
BITCOAL;TOTTRANS;;;;;
BITCOAL;TPATFUEL;;;;;
BITCOAL;TRANSEQ;sesofos;feso_otherInd;tdso_otherInd;1;
BITCOAL;TRANSFER;;;;;
BITCOAL;TREFINER;;;;;
BITCOAL;TRNONSPE;;;;;
BITCOAL;WOODPRO;sesofos;feso_otherInd;tdso_otherInd;1;
BITUMEN;AUTOELEC;;;;;
BITUMEN;CHEMICAL;seliqfos;feli_chemicals;tdli_chemicals;1;
BITUMEN;COMMPUB;seliqfos;fehob;tdfoshob;1;
BITUMEN;CONSTRUC;seliqfos;feli_otherInd;tdli_otherInd;1;
BITUMEN;DISTLOSS;peoil;seliqfos;refliq;-1;
BITUMEN;ELAUTOC;;;;;
BITUMEN;ELAUTOE;peoil;seel;dot;1;
BITUMEN;ELMAINC;;;;;
BITUMEN;ELMAINE;peoil;seel;dot;1;
BITUMEN;ELOUTPUT;;;;;
BITUMEN;ENONSPEC;;;;;
BITUMEN;EOILGASEX;;;;;
BITUMEN;EPOWERPLT;;;;;
BITUMEN;EREFINER;;;;;
BITUMEN;EXPORTS;;;;;
BITUMEN;FOODPRO;seliqfos;feli_otherInd;tdli_otherInd;1;
BITUMEN;HEATOUT;;;;;
BITUMEN;HEAUTOC;;;;;
BITUMEN;HEMAINC;;;;;
BITUMEN;IMPORTS;;;;;
BITUMEN;INONSPEC;seliqfos;feli_otherInd;tdli_otherInd;1;
BITUMEN;IRONSTL;seliqfos;feli_steel;tdli_steel;1;
BITUMEN;MACHINE;seliqfos;feli_otherInd;tdli_otherInd;1;
BITUMEN;MAINELEC;;;;;
BITUMEN;MANUFACT;;;;;
BITUMEN;MARBUNK;peoil;seliqfos;refliq;-1;
BITUMEN;MARBUNK;seliqfos;fedie;tdfosdie;-1;
BITUMEN;MINING;seliqfos;feli_otherInd;tdli_otherInd;1;
BITUMEN;NECHEM;;;;;
BITUMEN;NECONSTRUC;;;;;
BITUMEN;NEFOODPRO;;;;;
BITUMEN;NEIND;;;;;
BITUMEN;NEINONSPEC;;;;;
BITUMEN;NEINTREN;;;;;
BITUMEN;NEIRONSTL;;;;;
BITUMEN;NEMACHINE;;;;;
BITUMEN;NEMINING;;;;;
BITUMEN;NENONFERR;;;;;
BITUMEN;NENONMET;;;;;
BITUMEN;NEOTHER;;;;;
BITUMEN;NEPAPERPRO;;;;;
BITUMEN;NETEXTILES;;;;;
BITUMEN;NETRANS;;;;;
BITUMEN;NETRANSEQ;;;;;
BITUMEN;NEWOODPRO;;;;;
BITUMEN;NONENUSE;seliqfos;fehoi_cs;tdhoi_cs;1;
BITUMEN;NONENUSE;seliqfos;feli_chemicals;tdli_chemicals;1;
BITUMEN;NONFERR;seliqfos;feli_otherInd;tdli_otherInd;1;
BITUMEN;NONMET;seliqfos;feli_cement;tdli_cement;1;
BITUMEN;ONONSPEC;seliqfos;fehob;tdfoshob;1;
BITUMEN;PAPERPRO;seliqfos;feli_otherInd;tdli_otherInd;1;
BITUMEN;RESIDENT;seliqfos;fehob;tdfoshob;1;
BITUMEN;ROAD;seliqfos;fedie;tdfosdie;1;
BITUMEN;STATDIFF;;;;;
BITUMEN;STOCKCHA;;;;;
BITUMEN;TES;;;;;
BITUMEN;TEXTILES;seliqfos;feli_otherInd;tdli_otherInd;1;
BITUMEN;TFC;peoil;seliqfos;refliq;1;
BITUMEN;TNONSPEC;;;;;
BITUMEN;TOTENGY;;;;;
BITUMEN;TOTIND;;;;;
BITUMEN;TOTTRANF;;;;;
BITUMEN;TOTTRANS;;;;;
BITUMEN;TPATFUEL;;;;;
BITUMEN;TPETCHEM;;;;;
BITUMEN;TRANSEQ;seliqfos;feli_otherInd;tdli_otherInd;1;
BITUMEN;TRANSFER;;;;;
BITUMEN;TREFINER;;;;;
BITUMEN;WOODPRO;seliqfos;feli_otherInd;tdli_otherInd;1;
BKB;AGRICULT;sesofos;feso_otherInd;tdso_otherInd;1;
BKB;AUTOCHP;;;;;
BKB;AUTOELEC;;;;;
BKB;AUTOHEAT;;;;;
BKB;CHEMICAL;sesofos;feso_chemicals;tdso_chemicals;1;
BKB;COMMPUB;sesofos;fesob;tdfossob;1;
BKB;CONSTRUC;sesofos;feso_otherInd;tdso_otherInd;1;
BKB;DISTLOSS;pecoal;sesofos;coaltr;-1;
BKB;DOMESNAV;;;;;
BKB;EBKB;;;;;
BKB;EBLASTFUR;sesofos;feso_steel;tdso_steel;-1;
BKB;ECOKEOVS;;;;;
BKB;EGASWKS;;;;;
BKB;ELAUTOC;pecoal;seel;coalchp;1;
BKB;ELAUTOE;pecoal;seel;pc;1;
BKB;ELMAINC;pecoal;seel;coalchp;1;
BKB;ELMAINE;pecoal;seel;pc;1;
BKB;ELOUTPUT;;;;;
BKB;EMINES;;;;;
BKB;ENONSPEC;;;;;
BKB;EREFINER;;;;;
BKB;EXPORTS;;;;;
BKB;FISHING;sesofos;feso_otherInd;tdso_otherInd;1;
BKB;FOODPRO;sesofos;feso_otherInd;tdso_otherInd;1;
BKB;HEATOUT;;;;;
BKB;HEAUTOC;pecoal;sehe;coalchp;1;
BKB;HEAUTOH;pecoal;sehe;coalhp;1;
BKB;HEMAINC;pecoal;sehe;coalchp;1;
BKB;HEMAINH;pecoal;sehe;coalhp;1;
BKB;IMPORTS;;;;;
BKB;INONSPEC;sesofos;feso_otherInd;tdso_otherInd;1;
BKB;IRONSTL;sesofos;feso_steel;tdso_steel;1;
BKB;MACHINE;sesofos;feso_otherInd;tdso_otherInd;1;
BKB;MAINCHP;;;;;
BKB;MAINELEC;;;;;
BKB;MAINHEAT;;;;;
BKB;MANUFACT;;;;;
BKB;MINING;sesofos;feso_otherInd;tdso_otherInd;1;
BKB;NEINTREN;;;;;
BKB;NEOTHER;;;;;
BKB;NONENUSE;sesofos;feso_chemicals;tdso_chemicals;1;
BKB;NONFERR;sesofos;feso_otherInd;tdso_otherInd;1;
BKB;NONMET;sesofos;feso_cement;tdso_cement;1;
BKB;ONONSPEC;sesofos;fesob;tdfossob;1;
BKB;PAPERPRO;sesofos;feso_otherInd;tdso_otherInd;1;
BKB;RAIL;sesofos;feso_otherInd;tdso_otherInd;1;
BKB;RESIDENT;sesofos;fesob;tdfossob;1;
BKB;STATDIFF;;;;;
BKB;STOCKCHA;;;;;
BKB;TBKB;;;;;
BKB;TBLASTFUR;pecoal;sesofos;coaltr;-1;
BKB;TBLASTFUR;sesofos;feso_steel;tdso_steel;-1;
BKB;TCOKEOVS;;;;;
BKB;TES;;;;;
BKB;TEXTILES;sesofos;feso_otherInd;tdso_otherInd;1;
BKB;TFC;pecoal;sesofos;coaltr;1;
BKB;TGASWKS;;;;;
BKB;TOTENGY;;;;;
BKB;TOTIND;;;;;
BKB;TOTTRANF;;;;;
BKB;TOTTRANS;;;;;
BKB;TPATFUEL;;;;;
BKB;TRANSEQ;sesofos;feso_otherInd;tdso_otherInd;1;
BKB;TRANSFER;;;;;
BKB;TREFINER;;;;;
BKB;WOODPRO;sesofos;feso_otherInd;tdso_otherInd;1;
BLFURGS;EBLASTFUR;pecoal;segafos;coalgas;1;
BLFURGS;MANUFACT;;;;;
BLFURGS;STATDIFF;;;;;
BLFURGS;TBLASTFUR;pecoal;segafos;coalgas;1;
BLFURGS;TES;;;;;
BROWN;AGRICULT;sesofos;feso_otherInd;tdso_otherInd;1;
BROWN;AUTOCHP;;;;;
BROWN;AUTOELEC;;;;;
BROWN;AUTOHEAT;;;;;
BROWN;CHEMICAL;sesofos;feso_chemicals;tdso_chemicals;1;
BROWN;COMMPUB;sesofos;fesob;tdfossob;1;
